Key,russian

campfireActivate,"Осмотреть костёр"
caffeineBuzz,"Кофеиновый бодряк"
caffeineBuzzDesc,"Кофеин дает вам энергию, восстанавливает выносливость и согревает вас."
inpActActionLockStack,"Заблокировать стопку"
inpActInventorySlot9Name,"Слот 9"
inpActInventorySlot10Name,"Слот 10"
inpActInventorySlot11Name,"Слот 11"
inpActInventorySlot12Name,"Слот 12"
inpActMiddleMouseActionName,"Средняя кнопка мыши"
inpActVehicleToggleTopLightName,"Переключить дополнительное освещение"
inpActVehicleToggleSirenName,"Переключить сирену"
inpActVehicleChangeSeatPrevName,"Предыдущее место"
inpActVehicleChangeSeatNextName,"Следующее место"
inpActLockSelectedSlotName,"Заблокировать ячейку"
inpActGuiKeyboardSpaceName,"Горячая клавиша 5"
inpActDebugScreenshotName,"Снимок экрана отладки"
inpActDebugGameEventName,"Отлад. события"
infectionDesc,"Вы инфицированы. Используйте антибиотики или мед, чтобы вылечить инфекцию. Если не лечить, вы ослабнете и в конечном итоге умрете"
lblContextActionCraft,"Создать"
lblContextActionDrink,"Выпить"
lblContextActionDrop,"Бросить"
lblContextActionEat,"Съесть"
lblContextActionForge,"Выплавить"
lblContextActionPin,"Закрепить"
lblContextActionRead,"Прочитать"
lblContextActionRecharge,"Зарядить"
lblContextActionResearch,"Исследовать"
lblContextActionScrap,"Разобрать"
lblContextActionWear,"Надеть"
lblContextActionInspect,"Осмотреть"
lblLevel,"Уровень: {0}"
lblAcceptQuest,"Принять задание"
lblCancelQuest,"Отмена задания"
lblRemoveQuest,"Удалить задание"
lblShareQuest,"Поделиться"
lblShowUnknownIngredients,"Показывать неизвестные ингредиенты"
lblVisionEquipment,"Средства наблюдения"
lblEyewear,"Очки"
lblFacewear,"Лицевая экипировка"
lblBelt,"Пояс"
lblAccessory,"Аксессуар"
lblBackpack,"Рюкзак"
lblClothingHead,"Подшлемник"
lblClothingChest,"Нательная рубашка"
lblClothingHand,"Подперчатки"
lblClothingFeet,"Носки"
megaCrushBuffName,"Энергетик"
megaCrushBuffDesc,"Повышайте свои рефлексы и выносливость с помощью дополнительного прилива энергии!"
rangedWeaponStatsTip_title,"Статистика оружия дальнего боя"
statActionExpAll,"Опыт навыка"
statActionExpDoubleChance,"Шанс двойного опыта навыка"
statBarteringFitness,"Торговля фитнес-предметами"
statBarteringGunsAmmo,"Торговля оружием и боеприпасами"
statCapacity,"Вместимость"
statCargo,"Груз"
statCarryCapacity,"Вместимость рюкзака"
statCritDamageResist,"Защита от крит. урона"
statCritHealingSpeed,"Лечение крит. травм"
statCritResist,"Сопротивление крит. урону"
statDamageAnimals,"Урон по животным"
statDamageDirt,"Урон по земле"
statDamageIron,"Урон по железу"
statDamageMetal,"Урон по металлу"
statDamageStone,"Урон по камню"
statDamageUndead,"Урон нежити"
statDamageWood,"Урон по дереву"
statDegradationPerUse,"Износ"
statFilter,"Фильтр"
statForagingChance,"Шанс доп. растений"
statResistBleed,"Стойкость к кровотечению"
statResistCrit,"Сопротивление инфекции, усталости, растяжению, оглушению"
statResistInfection,"Стойкость к инфекциям"
statTreeResources,"Ресурсы с деревьев"
statHealthChangeOT,"Здоровье/сек"
statHealthMaxModifierOT,"Исцеление"
statHyperthermalResist,"Сопротивление жаре"
statHypothermalResist,"Сопротивление холоду"
statNoiseIncrease,"Шум"
statPhysicalDamageResist,"Физическая защита"
statPhysicalDamageResistLight,"Физическая броня (Лёгкая)"
statPhysicalDamageResistHeavy,"Физическая броня (Тяжелая)"
statPlayerExpGain,"Получение опыта"
statPlayerExpSalvaging,"Опыт разборки"
statPlayerExpMining,"Опыт добычи"
statReduceWeightBagAmmoGuns,"Вес оружия/боеприпасов в рюкзаке"
statReduceWeightBagMining,"Вес руды в рюкзаке"
statReduceWeightBagMedical,"Вес медикаментов в рюкзаке"
statReduceWeightBagDrinks,"Вес напитков в рюкзаке"
statReduceWeightBagFood,"Вес еды в рюкзаке"
statReduceWeightBagFoodDrinks,"Вес еды/напитков в рюкзаке"
statReduceWeightBagConsumables,"Вес расходников в рюкзаке"
statReduceWeightBagResources,"Вес ресурсов в рюкзаке"
statReduceWeightBagOreWood,"Вес руды/дерева в рюкзаке"
statReduceWeightBeltAll,"Вес всех предметов на поясе"
statReduceWeightBeltAmmoGuns,"Вес оружия/боеприпасов на поясе"
statReduceWeightBeltMedical,"Вес медикаментов на поясе"
statReduceWeightBeltDrinks,"Вес напитков на поясе"
statReduceWeightBeltFood,"Вес еды на поясе"
statReduceWeightBeltFoodDrinks,"Вес еды/напитков на поясе"
statReduceWeightBeltConsumables,"Вес расходников на поясе"
statReduceWeightBeltResources,"Вес ресурсов на поясе"
statReduceWeightBeltOreWood,"Вес руды/дерева на поясе"
statStaminaChangeOT,"Реген. выносливости"
statStaminaDrainOT,"Выносливость"
statTempFeelsLike,"Ощущается как"
statVehicleCargoCapacity,"Грузоподъёмность"
statVehicleCargoOverloaded,"Перегрузка"
statVehicleLightIntensity,"Освещенность"
xuiActionSkills,"Практические навыки"
xuiActiveEffects,"Активные эффекты"
xuiAllies,"Союзники"
xuiBuyPrice,"$"
xuiCreative,"Креатив"
xuiCharacter,"Персонаж"
xuiCrafting,"Создание"
xuiCurrentLife,"Текущая жизнь"
xuiCosmetics,"Косметика"
xuiCollectibles,"Коллекции"
xuiDeaths,"Смерти"
xuiFood,"Еда"
xuiFeelsLike,"Чувствуется как"
xuiGameSettingsPrefabList,"Список префабов"
xuiGameStage,"Этап\nигры"
xuiGenCity,"Город"
xuiGenRural,"Деревня"
xuiInventory,"Инвентарь"
xuiInventory,"Инвентарь"
xuiItemsCrafted,"Создано предметов"
xuiJournal,"Журнал"
xuiLongestLife,"Самая долгая жизнь"
xuiLevel,"Уровень"
xuiMap,"Карта"
xuiModifiers,"Изменить"
xuiNoSellPrice,""
xuiObjectives,"Задачи"
xuiOptionsDynamicMesh,"Динамические сетки"
xuiOptionsVideoDistanceCustom,"Пользовательский"
xuiOptionsVideoPresetsVeryHigh,"Очень высокое"
xuiParty,"Группа"
xuiPing,"Задержка"
xuiPlayerKills,"Убито игроков"
xuiPlayers,"Игроки"
xuiPlayerShow,"Показать"
xuiPointsAvailable,"[decea3]"
xuiPrefabEditor,"Редактор префабов"
xuiQuests,"Миссии"
xuiResearch,"Исследования"
xuiRewards,"Награды"
xuiRewardsNotAvailable,"Награды недоступны."
xuiRwgCountyName,"Название мира"
xuiRwgPreviewer,"Генератор мира"
xuiRwgWorldSeed,"Семечка"
xuiSellPrice,"$"
xuiSharedWaypoints,"Общий"
xuiSign,"Редактировать текст таблички"
xuiSkillBuy,"Разблокировать"
xuiSkillNerfedEffect,"[FF6A00]Умение не соответствует одному или нескольким требованиям.[-]"
xuiSkills,"Умения"
xuiSkillList,"Умения"
xuiSteamID,"Steam ID"
xuiVehicleStorage,"Хранилище транспорта"
xuiVoice,"Голос"
xuiWater,"Вода"
xuiWaypoints,"Сохранить"
xuiWorldEditor,"Редактор мира"
xuiWPskills,"Умения"
xuiXPToNextLevel,"До след. уровня"
xuiZombieKills,"Убийств зомби"
inpActSkillsName,"Навыки"
inpActSkillsDesc,"Открыть вкладку «Навыки»"
xuiSnow,"Снег"
xuiDesert,"Пустыня"
xuiPineForest,"Лес"
xuiWasteland,"Пустошь"
xuiwindowResearch,"Исследования"
xuiwindowSkillTree,"Навыки"
quest_clear_response,"Зачистить [DECEA3]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_fetch_response,"Принести [DECEA3]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_fetch_clear_response,"Зачистить\принести [DECEA3]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_restore_power_response,"Восст. питание [DECEA3]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_test_response,"Проверить награду [DECEA3]{custom.tier}-го уровня[-]"
uiLoadStartingGame,"Пожалуйста, подождите...\nПоиск припасов"
uiLoadLoadingXml,"Пожалуйста, подождите...\nПоиск выживших"
uiLoadCreatingWorld,"Пожалуйста, подождите...\nОтстрел зомби"
uiLoadCreatingPlayer,"Пожалуйста, подождите...\nБорьба с рейдерами"
msgBuildingEnvironment,"Пожалуйста, подождите...\nВ поисках убежища"
msgGeneratingDistantTerrain,"Пожалуйста, подождите...\nИщем бинокль"
msgStartingGame,"Пожалуйста, подождите...\nПереплавка руды"
uiLoadWaitingForServer,"Пожалуйста, подождите...\nПодготовка к орде"
waitingForServer,"Пожалуйста, подождите...\nОхота за едой"
questBlockActivate,"[73E9B2][{{0}}][-] Активировать {1}"
questRallyActivate,"[73E9B2][{{0}}][-] Начать задание\n[decea3]( {1} )[-]"
itemTooltipFocusedOne,"[73E9B2][{0}][-] Взять {1}"
itemTooltipFocusedSeveral,"[73E9B2][{0}][-] Взять {1} ({2})"
forgeActivate,"[73E9B2][{0}][-] Открыть Горн"
useCampfire,"[73E9B2][{0}][-] Открыть"
useForge,"[73E9B2][{0}][-] Открыть"
useSecureDoor,"[73E9B2][{0}][-] Открыть"
useDoor,"[73E9B2][{0}][-] Открыть"
useOpen,"[73E9B2][{0}][-] Открыть"
useClose,"[73E9B2][{0}][-] Закрыть"
useWorkstation,"[73E9B2][{0}][-] Открыть"
lootAccess,"[73E9B2][{0}][-] Доступ {1}"
lootEntity,"[73E9B2][{0}][-] Искать {1}"
lootTooltipEmpty,"[73E9B2][{0}][-] Открыть {1}\n[606060](Пусто)[-]"
lootTooltipNew,"[73E9B2][{0}][-] Обыскать {1}\n[73E9B2](Нетронут)[-]"
lootTooltipTouched,"[73E9B2][{0}][-] Открыть {1}"
